label	dept	num	satisfies	prereqs	coreqs	ay
BOGUS	MATH	280	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 226	BIOL	226	['SI']	[]	[]	False
BOGUS	PHYS	125	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 466	BIOL	466	[]	['BIOL 341', 'CHEM 221']	[]	False
BIOL 472	BIOL	472	[]	['BIOL 471']	[]	False
BIOL 462	BIOL	462	[]	['BIOL 341']	[]	False
CHEM 221	CHEM	221	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 345	BIOL	345	[]	['BIOL 341']	[]	False
BIOL 343	BIOL	343	[]	['BIOL 112', 'BIOL 341', 'CHEM 221']	[]	False
PSYC 353	PSYC	353	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 467	BIOL	467	[]	['BIOL 341', 'BIOL 345', 'PSYC 353']	[]	False
BIOL 347	BIOL	347	[]	['BIOL 341']	[]	False
BIOL 341	BIOL	341	[]	['BIOL 112', 'CHEM 221']	[]	False
BIOL 473	BIOL	473	[]	['BIOL 111', 'BIOL 226']	[]	False
BOGUS	CHEM	111	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 348	BIOL	348	[]	['BIOL 111']	[]	False
BIOL 350	BIOL	350	[]	['BIOL 111', 'BIOL 226']	[]	False
BIOL 488	BIOL	488	[]	[]	[]	False
BIOL 360	BIOL	360	[]	['BIOL 111', 'BIOL 112', 'BIOL 226']	[]	False
BIOL 464	BIOL	464	[]	['BIOL 341']	[]	False
BIOL 362	BIOL	362	[]	['BIOL 111', 'BIOL 226']	[]	False
BIOL 112	BIOL	112	['SI']	[]	[]	False
BOGUS	MATH	180	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 242	BIOL	242	[]	['BIOL 341']	[]	False
BIOL 455	BIOL	455	['RCH']	['BIOL 111', 'BIOL 112', 'BIOL 226']	[]	False
BIOL 486	BIOL	486	['IE']	[]	[]	False
GEOL 211	GEOL	211	BOGUS	BOGUS	BOGUS	BOGUS
BIOL JUNIOR	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 352	BIOL	352	[]	['BIOL 111', 'BIOL 226']	[]	False
BIOL 286	BIOL	286	[]	[]	[]	False
BIOL 482	BIOL	482	[]	[]	[]	False
BIOL 474	BIOL	474	[]	['BIOL 348']	[]	False
BIOL 471	BIOL	471	[]	['BIOL 111', 'BIOL 226']	[]	False
BIOL 342	BIOL	342	[]	[]	[]	False
PHYS 120	PHYS	120	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 229	BIOL	229	[]	[]	[]	False
BIOL 461	BIOL	461	[]	['BIOL 341']	[]	False
BIOL 465	BIOL	465	[]	['BIOL 341']	[]	False
BIOL 484	BIOL	484	[]	[]	[]	False
MATH 120	MATH	120	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	331	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 150	BIOL	150	['ES']	[]	[]	False
BIOL 480	BIOL	480	[]	[]	[]	False
PSYC 342	PSYC	342	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 485	BIOL	485	[]	[]	[]	False
SENIOR STANDING	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 483	BIOL	483	[]	[]	[]	False
BIOL 460	BIOL	460	[]	[]	[]	False
BIOL 111	BIOL	111	['A-QR', 'SI']	[]	[]	False
BIOL 240	BIOL	240	[]	[]	[]	False
BIOL 451	BIOL	451	[]	['BIOL 111', 'BIOL 112', 'BIOL 226']	[]	False
BIOL 353	BIOL	353	[]	[]	[]	False
BIOL 410	BIOL	410	[]	['BIOL 111', 'BIOL JUNIOR', 'SENIOR STANDING']	[]	False
BOGUS	CHEM	321	BOGUS	BOGUS	BOGUS	BOGUS
