label	dept	num	satisfies	prereqs	coreqs	ay
CHEM 331	CHEM	331	['A-QR', 'RCH', 'SI']	['CHEM 111']	[]	False
CHEM 431	CHEM	431	['RCH']	['CHEM 331']	[]	False
CHEM 421	CHEM	421	[]	['CHEM 321']	[]	False
CHEM 485	CHEM	485	[]	[]	[]	False
CHEM 483	CHEM	483	[]	[]	[]	False
CHEM 481	CHEM	481	[]	[]	[]	False
CHEM 488	CHEM	488	[]	[]	[]	False
CHEM 361	CHEM	361	['WI']	['CHEM 321', 'CHEM 331']	[]	False
CHEM 105	CHEM	105	['A-QR', 'SI']	[]	[]	False
PHYS 225	PHYS	225	BOGUS	BOGUS	BOGUS	BOGUS
CHEM 321	CHEM	321	['A-QR', 'RCH', 'SI']	['CHEM 221']	[]	False
CHEM 150	CHEM	150	['ES']	[]	[]	False
CHEM 480	CHEM	480	[]	[]	[]	False
CHEM 441	CHEM	441	['RCH']	['CHEM 341', 'MATH 180', 'PHYS 225']	[]	False
CHEM 486	CHEM	486	['IE']	[]	[]	False
PHYS 125	PHYS	125	BOGUS	BOGUS	BOGUS	BOGUS
CHEM 482	CHEM	482	[]	[]	[]	False
CHEM 341	CHEM	341	[]	['CHEM 331', 'MATH 180', 'PHYS 220', 'PHYS 225']	[]	False
CHEM 351	CHEM	351	[]	['CHEM 321', 'CHEM 331']	[]	False
PHYS 220	PHYS	220	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 235	PHYS	235	BOGUS	BOGUS	BOGUS	BOGUS
CHEM 221	CHEM	221	['A-QR', 'SI']	['CHEM 111']	[]	False
PHYS 230	PHYS	230	BOGUS	BOGUS	BOGUS	BOGUS
MATH 180	MATH	180	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 120	PHYS	120	BOGUS	BOGUS	BOGUS	BOGUS
CHEM 371	CHEM	371	['RCH']	['CHEM 221', 'CHEM 331']	[]	False
CHEM 111	CHEM	111	['A-QR', 'SI']	[]	[]	False
CHEM 484	CHEM	484	['IE']	[]	[]	False
